fastq_id,SampleID,sra_id,pool_comp,submitted_to_insdc,investigation_type,project_name,experimental_factor,collection_date,biome,feature,material,nucl_acid_ext,nucl_acid_amp,lib_size,lib_const_meth,target_gene,target_subfragment,seq_meth,fcid,seq_run,chimera_check,samp_store_temp
Trap-6_S6_L001_R1_001,Trap-06,SRR14022277,NA,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Potato field,Trap,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3MN,run3_trap,DADA2,-20
Trap-6_S6_L001_R2_001,Trap-06,SRR14022277,NA,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Potato field,Trap,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3MN,run3_trap,DADA2,-20
Trap-7_S7_L001_R1_001,Trap-07,SRR14022276,NA,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Potato field,Trap,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3MN,run3_trap,DADA2,-20
Trap-7_S7_L001_R2_001,Trap-07,SRR14022276,NA,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Potato field,Trap,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3MN,run3_trap,DADA2,-20
Trap-8_S8_L001_R1_001,Trap-08,SRR14022275,NA,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Potato field,Trap,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3MN,run3_trap,DADA2,-20
Trap-8_S8_L001_R2_001,Trap-08,SRR14022275,NA,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Potato field,Trap,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3MN,run3_trap,DADA2,-20
Trap-9_S9_L001_R1_001,Trap-09,SRR14022274,NA,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Potato field,Trap,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3MN,run3_trap,DADA2,-20
Trap-9_S9_L001_R2_001,Trap-09,SRR14022274,NA,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Potato field,Trap,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3MN,run3_trap,DADA2,-20
Trap-10_S10_L001_R1_001,Trap-10,SRR14022273,NA,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Potato field,Trap,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3MN,run3_trap,DADA2,-20
Trap-10_S10_L001_R2_001,Trap-10,SRR14022273,NA,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Potato field,Trap,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3MN,run3_trap,DADA2,-20
Pool-1-100_S1_L001_R1_001,Pool-01-100,SRR14022295,1.1,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Laboratory,Pool-0100,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3J6,run1_mock,DADA2,-20
Pool-1-100_S1_L001_R2_001,Pool-01-100,SRR14022295,1.1,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Laboratory,Pool-0100,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3J6,run1_mock,DADA2,-20
Pool-2-100_S2_L001_R1_001,Pool-02-100,SRR14022294,2.1,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Laboratory,Pool-0100,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3J6,run1_mock,DADA2,-20
Pool-2-100_S2_L001_R2_001,Pool-02-100,SRR14022294,2.1,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Laboratory,Pool-0100,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3J6,run1_mock,DADA2,-20
Pool-3-100_S3_L001_R1_001,Pool-03-100,SRR14022283,3.1,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Laboratory,Pool-0100,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3J6,run1_mock,DADA2,-20
Pool-3-100_S3_L001_R2_001,Pool-03-100,SRR14022283,3.1,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Laboratory,Pool-0100,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3J6,run1_mock,DADA2,-20
Pool-4-100_S4_L001_R1_001,Pool-04-100,SRR14022272,4.1,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Laboratory,Pool-0100,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3J6,run1_mock,DADA2,-20
Pool-4-100_S4_L001_R2_001,Pool-04-100,SRR14022272,4.1,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Laboratory,Pool-0100,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3J6,run1_mock,DADA2,-20
Pool-5-100_S5_L001_R1_001,Pool-05-100,SRR14022271,5.1,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Laboratory,Pool-0100,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3J6,run1_mock,DADA2,-20
Pool-5-100_S5_L001_R2_001,Pool-05-100,SRR14022271,5.1,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Laboratory,Pool-0100,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3J6,run1_mock,DADA2,-20
Pool-6-500_S6_L001_R1_001,Pool-06-500,SRR14022293,1.3,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Laboratory,Pool-0500,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3J6,run1_mock,DADA2,-20
Pool-6-500_S6_L001_R2_001,Pool-06-500,SRR14022293,1.3,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Laboratory,Pool-0500,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3J6,run1_mock,DADA2,-20
Pool-7-500_S7_L001_R1_001,Pool-07-500,SRR14022292,2.3,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Laboratory,Pool-0500,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3J6,run1_mock,DADA2,-20
Pool-7-500_S7_L001_R2_001,Pool-07-500,SRR14022292,2.3,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Laboratory,Pool-0500,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3J6,run1_mock,DADA2,-20
Pool-8-500_S8_L001_R1_001,Pool-08-500,SRR14022291,3.3,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Laboratory,Pool-0500,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3J6,run1_mock,DADA2,-20
Pool-8-500_S8_L001_R2_001,Pool-08-500,SRR14022291,3.3,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Laboratory,Pool-0500,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3J6,run1_mock,DADA2,-20
Pool-9-500_S9_L001_R1_001,Pool-09-500,SRR14022290,4.3,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Laboratory,Pool-0500,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3J6,run1_mock,DADA2,-20
Pool-9-500_S9_L001_R2_001,Pool-09-500,SRR14022290,4.3,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Laboratory,Pool-0500,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3J6,run1_mock,DADA2,-20
Pool-10-500_S10_L001_R1_001,Pool-10-500,SRR14022289,5.3,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Laboratory,Pool-0500,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3J6,run1_mock,DADA2,-20
Pool-10-500_S10_L001_R2_001,Pool-10-500,SRR14022289,5.3,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Laboratory,Pool-0500,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3J6,run1_mock,DADA2,-20
Pool-11-1000_S11_L001_R1_001,Pool-11-1000,SRR14022288,1.4,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Laboratory,Pool-1000,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3J6,run1_mock,DADA2,-20
Pool-11-1000_S11_L001_R2_001,Pool-11-1000,SRR14022288,1.4,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Laboratory,Pool-1000,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3J6,run1_mock,DADA2,-20
Pool-12-1000_S12_L001_R1_001,Pool-12-1000,SRR14022287,2.4,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Laboratory,Pool-1000,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3J6,run1_mock,DADA2,-20
Pool-12-1000_S12_L001_R2_001,Pool-12-1000,SRR14022287,2.4,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Laboratory,Pool-1000,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3J6,run1_mock,DADA2,-20
Pool-13-1000_S13_L001_R1_001,Pool-13-1000,SRR14022286,3.4,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Laboratory,Pool-1000,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3J6,run1_mock,DADA2,-20
Pool-13-1000_S13_L001_R2_001,Pool-13-1000,SRR14022286,3.4,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Laboratory,Pool-1000,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3J6,run1_mock,DADA2,-20
Pool-14-1000_S14_L001_R1_001,Pool-14-1000,SRR14022285,4.4,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Laboratory,Pool-1000,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3J6,run1_mock,DADA2,-20
Pool-14-1000_S14_L001_R2_001,Pool-14-1000,SRR14022285,4.4,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Laboratory,Pool-1000,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3J6,run1_mock,DADA2,-20
Pool-15-1000_S15_L001_R1_001,Pool-15-1000,SRR14022284,5.4,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Laboratory,Pool-1000,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3J6,run1_mock,DADA2,-20
Pool-15-1000_S15_L001_R2_001,Pool-15-1000,SRR14022284,5.4,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Laboratory,Pool-1000,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3J6,run1_mock,DADA2,-20
250-C1_S1_L001_R1_001,Pool-C1-250,SRR16944112,1.2,F,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Laboratory,Pool-0250,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3K7,run2_250,DADA2,-20
250-C1_S1_L001_R2_001,Pool-C1-250,SRR16944112,1.2,F,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Laboratory,Pool-0250,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3K7,run2_250,DADA2,-20
250-C2_S2_L001_R1_001,Pool-C2-250,SRR16944111,2.2,F,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Laboratory,Pool-0250,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3K7,run2_250,DADA2,-20
250-C2_S2_L001_R2_001,Pool-C2-250,SRR16944111,2.2,F,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Laboratory,Pool-0250,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3K7,run2_250,DADA2,-20
250-C3_S3_L001_R1_001,Pool-C3-250,SRR16944110,3.2,F,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Laboratory,Pool-0250,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3K7,run2_250,DADA2,-20
250-C3_S3_L001_R2_001,Pool-C3-250,SRR16944110,3.2,F,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Laboratory,Pool-0250,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3K7,run2_250,DADA2,-20
250-C4_S4_L001_R1_001,Pool-C4-250,SRR16944109,4.2,F,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Laboratory,Pool-0250,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3K7,run2_250,DADA2,-20
250-C4_S4_L001_R2_001,Pool-C4-250,SRR16944109,4.2,F,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Laboratory,Pool-0250,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3K7,run2_250,DADA2,-20
250-C5_S5_L001_R1_001,Pool-C5-250,SRR16944108,5.2,F,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Laboratory,Pool-0250,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3K7,run2_250,DADA2,-20
250-C5_S5_L001_R2_001,Pool-C5-250,SRR16944108,5.2,F,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Laboratory,Pool-0250,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3K7,run2_250,DADA2,-20
250-U1_S6_L001_R1_001,Pool-U1-250,SRR14022270,1.2,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Laboratory,Pool-0250,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3K7,run2_250,DADA2,-20
250-U1_S6_L001_R2_001,Pool-U1-250,SRR14022270,1.2,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Laboratory,Pool-0250,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3K7,run2_250,DADA2,-20
250-U2_S7_L001_R1_001,Pool-U2-250,SRR14022269,2.2,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Laboratory,Pool-0250,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3K7,run2_250,DADA2,-20
250-U2_S7_L001_R2_001,Pool-U2-250,SRR14022269,2.2,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Laboratory,Pool-0250,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3K7,run2_250,DADA2,-20
250-U3_S8_L001_R1_001,Pool-U3-250,SRR14022268,3.2,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Laboratory,Pool-0250,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3K7,run2_250,DADA2,-20
250-U3_S8_L001_R2_001,Pool-U3-250,SRR14022268,3.2,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Laboratory,Pool-0250,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3K7,run2_250,DADA2,-20
250-U4_S9_L001_R1_001,Pool-U4-250,SRR14022267,4.2,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Laboratory,Pool-0250,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3K7,run2_250,DADA2,-20
250-U4_S9_L001_R2_001,Pool-U4-250,SRR14022267,4.2,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Laboratory,Pool-0250,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3K7,run2_250,DADA2,-20
250-U5_S10_L001_R1_001,Pool-U5-250,SRR14022266,5.2,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Laboratory,Pool-0250,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3K7,run2_250,DADA2,-20
250-U5_S10_L001_R2_001,Pool-U5-250,SRR14022266,5.2,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Laboratory,Pool-0250,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3K7,run2_250,DADA2,-20
